objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
5408,143,103,152.79,105.895
6375,140,102,151.071,105.967
4845,142,101,150.35,101.973
6756,143,117,148.663,102.8
5870,141,101,152.189,107.019
6301,141,98,151.297,104.32
5431,142,99,149.158,98.2152
4890,142,104,151.271,99.8719
4927,142,90,150.719,97.3884
5173,143,106,149.56,101.005
6059,139,99,150.947,105.425
5830,143,102,150.779,102.146
5958,143,107,152.007,106.823
6773,142,108,147.079,101.668
5263,145,101,152.763,99.3093
5935,141,105,148.582,104.198
6425,145,111,154.3,107.426
4773,141,101,150.156,99.6386
6039,140,100,149.349,101.626
5976,141,97,150.951,105.564
5217,142,101,151.603,104.667
5265,140,97,150.498,102.354
5616,144,108,153.221,107.29
5710,144,102,152.013,104.665
5906,139,95,148.85,103.799
6196,145,101,153.221,102.455
6453,145,103,150.946,104.33
6786,141,109,148.089,107.055
5800,139,92,152.761,105.114
5672,144,112,152.63,107.091
5991,143,102,150.554,99.2102
5510,140,100,147.498,96.8218
6735,140,100,149.305,105.689
6715,139,105,146.797,101.332
6353,141,102,147.207,100.299
5437,144,103,154.049,103.97
7117,141,109,148.391,102.647
7074,142,107,148.76,105.37
5365,140,94,149.172,98.3343
6597,140,96,149.503,102.182
5884,141,96,149.818,100.593
5552,143,105,153.949,108.011
6514,145,100,153.034,105.016
5635,142,101,151.343,105.344
6105,143,104,151.079,102.846
5628,142,103,150.203,101.301
4881,143,101,152.958,102.419
6737,143,107,152.02,106.132
4172,144,94,153.289,98.7868
6266,142,108,149.361,101.673
5826,143,97,149.528,99.6707
5852,145,112,152.146,104.452
5616,143,95,153.869,103.976
5087,138,91,150.018,98.976
6094,134,87,146.503,100.424
6654,138,98,150.233,106.787
6246,146,109,153.063,107.492
7009,140,102,148.108,104.055
6914,138,101,149.766,104.581
5390,143,103,152.429,102.967
5924,139,97,146.582,98.952
6769,143,107,149.839,102.442
6200,142,100,149.88,103.617
6270,141,101,149.956,102.946
5710,146,107,153.316,105.206
6097,140,103,147.562,103.59
6458,141,104,149.62,104.589
6087,137,88,147.606,99.3443
6377,143,94,151.629,101.111
5363,143,100,152.096,103.057
5723,146,111,150.459,103.397
6075,144,110,152.622,104.65
5653,142,99,148.37,97.0831
6323,141,106,148.524,102.956
5692,133,86,140.747,91.1752
5890,138,102,150.035,104.884
5621,145,114,152.084,104.852
6018,144,104,149.285,101.144
6805,136,85,148.173,101.785
5828,142,99,151.376,103.459
6320,143,113,147.149,98.5906
6489,137,100,145.908,100.081
6298,144,106,151.389,105.055
5367,143,96,152.777,103.587
7726,143,114,149.205,107.68
5976,143,103,151.472,104.229
6250,134,93,142.464,95.2843
5643,141,100,148.939,98.6066
5818,146,108,151.224,101.754
6331,143,98,152.626,105.019
6046,141,94,150.462,99.3453
6045,143,103,151.463,104.809
5469,137,89,150.134,100.722
6120,141,112,148.806,104.248
5265,146,99,153.934,103.37
6111,138,96,147.635,101.908
5091,137,94,145.768,98.2723
5431,138,91,150.283,103.217
5846,138,98,147.292,103.521
6149,142,101,152.026,105.74
6489,138,100,145.058,100.693
4792,143,96,153.493,102.321
5782,147,110,151.177,105.481
5204,143,102,155.959,108.845
6386,140,106,147.958,104.122
6001,141,97,149.538,100.315
6522,142,98,150.61,104.116
5895,138,94,148.939,102.712
6229,140,107,148.098,102.915
5959,141,98,150.262,104.141
5788,145,107,154.301,106.841
5536,144,99,153.94,105.926
5781,140,98,151.85,105.948
5978,140,100,150.714,103.801
7081,145,113,148.843,105.694
5335,144,109,150.204,102.938
6482,142,99,151.553,105.342
5690,142,97,151.59,103.23
5794,141,104,151.419,105.335
6223,143,100,152.094,103.744
5474,147,111,155.756,106.346
5499,142,100,149.226,100.071
6502,143,104,152.164,103.495
5996,143,102,151.765,103.341
5388,143,104,151.915,102.299
6095,144,111,151.564,107.604
6191,135,93,146.731,102.305
6975,139,103,147.522,103.262
5416,139,96,149.951,98.022
5451,145,106,153.912,107.035
4988,141,95,150.963,101.9
5949,143,106,150.047,103.999
5651,142,94,153.559,103.949
5344,142,102,151.321,102.287
4485,141,94,150.123,98.2973
5376,142,95,152.983,103.717
5713,142,101,152.427,104.723
3263,141,89,152.404,97.6727
5330,143,98,150.914,100.347
4895,143,99,151.972,102.184
6132,138,96,147.074,99.1782
6015,141,96,152.708,103.744
6016,141,105,148.28,101.338
6125,141,99,151.453,104.318
6131,145,107,153.337,107.981
5473,144,103,151.046,103.02
5295,143,94,151.523,100.462
6529,141,106,151.845,108.252
6375,141,101,153.492,107.256
5587,143,107,152.363,104.062
5204,143,104,154.003,108.459
5735,143,114,148.212,102.243
5471,142,100,152.106,105.418
6279,140,103,149.199,100.935
4572,145,99,154.746,103.346
5749,144,105,155.408,106.671
6077,144,109,153.902,109.617
6576,141,101,150.1,105.629
6469,138,97,146.983,101.666
6759,146,121,150.679,107.506
6231,138,97,147.837,101.503
5390,140,94,147.577,97.8458
5100,144,101,153.005,104.977
6071,143,98,152.721,104.122
5968,142,95,151.382,103.72
5253,145,98,154.234,104.44
6150,143,108,153.69,107.71
5070,144,102,152.927,103.206
6310,139,100,148.925,103.151
6412,138,102,146.441,100.818
6960,140,107,147.591,102.998
6518,136,95,143.597,98.4595
5395,140,95,150.793,102.47
6469,142,115,149.548,102.374
6023,140,99,149.895,102.938
6177,145,105,154.187,108.314
7249,142,112,149.993,107.116
5475,146,106,152.412,102.409
5601,143,95,152.826,104.155
7026,142,104,148.551,103.481
6675,142,113,146.855,101.815
6029,139,93,150.82,104.06
5651,143,101,153.101,105.327
6933,139,100,148.903,105.596
7322,138,102,150.284,107.89
6374,142,109,149.223,105.369
4671,138,94,148.56,98.1131
6285,144,112,150.896,106.264
