objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
17949,153,122,160.765,111.896
16572,155,109,163.198,109.403
17790,151,116,160.441,108.766
18356,148,112,154.77,109.07
18802,151,110,155.974,109.148
17967,151,116,159.607,110.066
18290,151,115,157.742,112.549
18052,150,110,154.895,107.1
18805,152,120,157.574,112.392
18458,151,119,156.8,108.075
16634,154,103,161.09,105.979
17651,153,117,157.119,105.601
18323,154,120,155.56,108.008
16835,155,119,159.019,104.605
16194,152,97,161.637,103.48
18713,150,119,157.374,109.781
17314,154,110,159.417,104.667
16794,152,112,158.243,105.761
16685,150,105,155.904,100.74
17025,153,111,160.194,108.062
16990,150,109,155.481,102.345
18429,151,107,158.063,106.919
17850,153,108,160.178,107.498
16147,152,95,160.051,101.551
18141,149,107,157.402,107.834
17341,149,104,156.171,105.77
18639,153,116,155.947,102.857
17608,152,106,160.08,106.866
19090,153,124,156.027,113.058
18118,150,105,155.439,106.199
16829,149,104,157.288,102.656
16656,151,111,157.623,106.148
17219,151,97,157.364,103.39
18270,150,111,156.959,106.632
18649,150,108,157.148,106.385
17777,151,111,157.776,107.125
17556,152,114,160.674,109.182
18398,153,109,158.904,107.4
17038,151,101,156.534,101.37
17687,154,117,156.752,105.8
17582,151,110,156.785,106.499
17723,151,110,160.014,109.163
17945,150,111,154.771,103.298
19170,155,123,161.289,115.34
17600,149,112,156.694,103.142
18364,153,117,160.019,113.046
17528,151,112,160.076,110.379
17426,150,114,157.946,106.892
18436,150,102,155.766,103.499
17530,153,114,161.148,109.261
15824,153,107,160.552,103.283
17173,153,113,158.422,105.924
18834,152,121,156.364,110.98
17986,154,115,160.112,109.43
18252,153,118,158.032,110.499
16768,153,97,161.85,103.859
18334,155,118,158.891,110.607
18451,154,116,156.771,107.997
16642,155,114,163.313,109.674
16979,151,108,158.563,104.758
18343,150,106,157.66,108.908
16204,154,106,161.553,104.286
17523,154,111,158.681,103.61
15552,148,90,160.36,98.5756
17942,153,114,161.095,110.716
18639,150,110,157.895,109.408
17754,150,119,155.787,105.26
16841,155,109,162.934,109.308
18906,151,114,157.688,111.663
17603,153,108,159.756,105.4
18189,151,117,158.291,111.008
18333,152,117,158.22,109.105
17319,151,101,159.522,106.98
17779,155,110,163.591,112.364
17051,150,111,155.879,105.268
18129,153,110,158.903,106.465
16976,151,103,157.358,102.484
18636,152,107,157.022,108.471
17867,153,111,159.072,110.48
16822,154,104,162.57,108.124
18490,153,118,159.221,108.226
17513,152,118,156.348,107.388
18511,151,116,155.578,111.013
17334,147,108,154.235,101.552
17425,151,113,154.953,105.724
15891,153,105,158.478,98.048
17608,153,112,161.467,108.092
17577,152,112,160.646,107.698
17779,153,110,159.06,109.217
17389,153,110,160.263,104.367
18329,149,107,155.045,106.785
17690,148,103,158.796,105.052
17126,153,108,162.407,108.956
17816,152,105,160.918,109.101
18851,149,104,155.171,107.855
18894,152,120,157.531,111.336
17559,156,121,159.214,106.771
18380,151,120,157.516,108.226
18698,152,118,157.558,110.635
16166,150,97,158.098,100.745
18569,153,118,158.721,110.793
17497,154,113,163.593,112.865
18928,150,117,157.628,110.632
16481,152,111,160.666,105.859
17910,150,110,155.678,105.383
18446,151,107,160.979,110.539
16812,154,115,162.983,111.366
18228,149,118,156.005,109.847
17758,155,113,158.041,106.193
16848,154,111,159.415,102.278
17291,150,108,159.089,107.51
16956,149,102,156.448,104.265
18170,151,109,156.617,111.058
17462,151,114,155.287,103.537
17783,154,109,161.399,110.621
18782,154,116,159.873,110.356
18238,154,115,162.479,113.916
17839,147,104,150.541,101.848
17108,149,107,153.63,98.8028
18129,153,112,161.577,113.676
16732,151,103,157.457,101.895
17765,151,114,154.458,104.471
18059,151,109,160.135,107.857
16838,151,106,160.827,104.346
17210,153,111,162.552,104.577
17696,152,112,159.591,109.69
18751,150,115,156.066,109.66
17534,152,112,155.65,102.238
17112,147,98,158.452,100.719
17494,156,112,160.002,105.223
18130,149,105,155.83,105.616
17643,149,114,158.462,108.389
18060,151,105,156.92,104.961
16800,152,100,158.484,100.479
18173,155,122,162.229,115.734
18214,153,119,158.89,110.649
18893,150,114,153.386,105.997
17217,155,110,162.391,105.998
18036,153,119,159.497,111.96
19032,155,124,156.201,109.777
18324,150,110,160.412,108.532
17495,152,111,160.324,106.244
17906,155,115,162.134,111.526
17662,153,113,161.186,110.714
17389,151,107,159.452,105.785
16748,151,109,159.934,106.216
16989,151,102,157.164,101.802
18430,148,114,152.586,102.352
17676,152,104,157.862,105.036
17240,152,113,161.855,111.638
17523,154,104,162.422,108.181
17389,154,108,156.652,102.599
18119,151,115,157.768,107.423
18640,151,115,156.062,110.257
16749,155,122,162.745,109.017
17199,154,115,161.568,108.227
17510,155,110,159.252,107.776
16159,155,115,159.718,106.621
17358,152,113,158.936,106.292
18121,151,109,157.166,104.158
18026,154,116,162.366,109.995
17446,152,111,159.696,109.977
17710,148,107,155.181,103.342
17816,154,109,159.403,108.751
17838,148,109,154.895,105.354
17745,151,116,156.779,107.11
17654,150,102,158,107.512
18441,154,113,160.368,111.377
16944,154,106,159.97,104.618
18140,148,104,155.869,106.454
19237,150,115,155.337,109.656
18122,149,107,157.607,108.681
17722,150,108,158.189,106.117
18921,154,119,159.468,114.802
17750,155,112,161.736,108.02
17938,149,108,158.091,104.586
18409,149,112,154.808,108.993
17381,153,111,157.274,101.945
17099,154,99,161.157,106.854
17913,154,114,160.093,108.647
18062,155,109,160.383,110.857
17587,151,105,159.821,106.959
17492,150,100,154.703,104.356
17295,154,115,159.543,107.362
16747,152,105,160.338,108.92
19086,155,132,156.469,111.928
18473,153,122,160.002,111.849
17426,151,120,158.337,109.026
18205,154,115,158.505,109.446
17547,152,111,159.539,108.578
16582,147,98,154.236,94.6116
16717,149,97,157.459,101.555
16672,150,101,157.646,101.969
17177,153,115,161.108,104.345
18340,150,113,153.861,105.633
18171,154,119,160.701,109.304
18266,151,117,156.15,107.181
18108,154,121,159.541,109.794
17532,153,119,158.72,108.354
17656,150,108,156.328,107.203
18080,149,103,157.326,105.381
18660,154,123,157.242,109.98
17752,152,109,158.079,105.812
18061,153,116,158.32,109.659
17893,154,117,158.434,110.58
18108,150,113,156.787,108.308
18222,152,110,155.714,105.891
18087,151,115,156.4,106.71
16808,152,105,160.622,104.976
18048,146,112,149.482,101.276
18393,152,115,158.896,112.571
18273,151,121,158.226,113.144
17429,155,112,159.61,105.753
17600,154,120,159.392,109.684
17063,152,107,159.166,103.176
17894,152,115,158.462,109.34
17843,152,112,158.185,106.449
17736,150,104,157.821,102.903
18237,151,116,157.62,108.83
17017,151,105,158.366,103.293
17453,153,122,158.758,106.338
17949,154,125,158.255,109.29
17123,152,108,160.675,105.697
17276,154,108,159.981,106.037
17356,149,105,157.924,102.99
19055,153,115,156.695,108.85
17033,154,119,159.82,110.24
18631,153,114,160.562,112.588
18392,155,114,159.385,111.579
16963,152,98,161.08,104.619
18279,151,111,155.088,105.734
17691,152,110,156.386,102.66
