objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
13139,94,54,71.7477,35.5325
12717,94,47,74.8368,41.3073
12773,92,48,72.1101,38.007
13092,92,46,73.8068,39.3373
13453,94,54,71.029,37.5125
12616,94,45,73.3223,35.9329
13520,97,60,73.5395,41.3033
11660,85,44,70.5155,36.2753
11587,91,45,74.4605,37.1792
12212,94,44,73.8228,37.6416
12663,94,50,74.4955,40.2873
11997,89,41,70.3664,32.971
11216,91,50,70.8829,36.1552
13130,93,53,73.4815,38.6416
12679,90,45,71.961,36.3874
11506,92,45,72.2232,36.968
12387,94,46,72.2623,35.979
12703,93,51,73.6767,36.987
13018,93,47,73.983,40.0921
13382,93,44,74.968,40.6046
11563,93,47,73.8078,36.2312
10675,91,50,71.5255,36.4535
12172,91,47,74.3954,40.013
12875,94,51,73.9349,39.6817
11572,89,38,72.2422,37.5375
13888,95,46,74.8478,39.4845
12125,92,43,75.1902,38.8328
11811,91,48,71.4194,34.5195
12713,96,53,73.2773,39.6366
12492,95,53,74.1131,39.4264
13165,94,55,72.1862,40.0991
13895,95,49,76.4214,39.954
12842,92,49,72.6617,37.4715
11467,90,47,71.975,36.3053
12565,96,55,73.4875,39.6206
12095,92,46,73.6737,34.958
12676,94,46,73.995,37.1822
13075,94,47,73.6326,37.036
12203,91,44,70.9209,36.9009
13967,94,49,74.8368,41.3083
11861,91,50,70.4965,35.4494
12387,93,53,73.4254,38.9239
14096,96,54,74.8188,40.8929
12354,95,46,73.8919,35.3594
13442,94,56,73.7628,38.8509
13328,93,48,73.7427,39.0571
12889,96,52,72.4254,36.3223
13645,97,54,74.6797,39.5085
12398,93,46,75.011,38.5726
12995,93,44,74.1261,40.6927
12800,93,54,74.6276,39.1702
12923,93,49,73.5666,37.7417
11910,92,56,70.8529,35.6206
13057,90,44,71.7928,37.9429
13649,95,49,75.0991,41.6006
11855,97,54,73.01,39.001
12495,90,48,73.044,37.8178
11927,97,49,75.1972,37.9199
12870,94,52,72.9079,39.5706
12194,91,46,72.8559,38.0811
13322,94,53,75.4635,41.6767
12249,94,47,74.2032,37.5506
12363,96,54,73.2713,37.7187
13620,92,52,73.4334,39.4625
12822,95,48,75.2142,38.5435
13610,95,50,73.3864,38.2012
12872,95,58,72.2743,39.0591
14078,98,57,76.952,43.5435
12152,94,51,71.3904,36.3203
13167,96,53,74.4154,38.0831
12520,93,44,71.4965,35.8178
13071,93,52,74.4655,41.3984
13121,91,41,73.972,39.6727
12147,89,41,71.2803,35.5045
12630,92,50,73.4294,39.4194
12459,91,48,72.2312,38.2883
12724,93,48,74.5375,40.0711
13039,95,49,73.4815,36.2523
12373,95,47,73.8028,36.6296
13419,97,53,75.0721,40.7968
12513,94,50,69.6056,33.8448
14084,96,49,75.3974,40.7287
13368,96,49,76.1562,41.7678
13837,96,51,73.8999,40.4064
13348,91,47,72.6136,39.6486
11885,92,43,73.1782,34.1451
12382,92,44,73.8649,38.6436
12338,89,46,71.9159,40.0601
12135,93,52,73.7868,38.3153
11842,91,45,71.0591,37.9449
12247,95,51,73.1161,37.6396
13052,98,54,75.3403,40.1291
11954,92,48,72.5325,38.0841
12149,95,42,72.9269,36.7117
11700,91,41,71.5616,34.6957
12824,95,53,72.7157,36.6847
11693,90,46,71.3123,36.4444
12340,90,45,75.1111,40.1401
12263,98,53,71.3994,35.8629
13393,95,59,71.2132,38.3493
13056,94,54,72.6076,38.9329
12105,95,51,75.6627,37.8569
12402,98,50,71.7758,33.6947
13508,95,57,73.2452,40.4194
11322,92,49,71.965,37.0561
12789,96,52,74.0771,39.005
14184,96,50,75.4625,42.2553
12004,89,48,70.9189,37.7207
11418,90,44,72.0761,37.2983
12648,92,52,72.014,40.4815
14025,96,51,75.5706,41.3574
12005,94,49,74.0591,38.018
13317,94,53,72.6947,39.046
12188,92,48,73.2172,37.8769
12177,95,47,74.0921,36.7778
13507,96,53,74.8679,40.1792
13182,94,47,74.8509,41.1982
12727,95,48,73.7638,38.1512
13818,93,53,74.3604,42.5606
12710,93,56,71.1161,35.9129
14007,97,51,75.4204,41.1271
11802,95,50,73.6827,38.3073
13832,96,60,74.6737,40.2513
11571,88,38,70.984,36.7487
13351,96,49,76.0991,41.4054
12560,93,47,71.7247,35.1011
12072,94,51,74.8428,38.1922
11234,87,42,71.1221,35.8008
12686,93,50,72.4044,39.6056
12415,92,53,71.5946,36.1061
12777,96,50,73.9209,40.0821
12932,94,49,73.8979,37.8799
13727,93,54,72.3453,39.4174
12371,96,45,73.4154,34.7538
11718,90,49,73.3574,37.4995
13541,98,56,76.1602,41.7497
13296,95,59,72.6707,41.3554
13274,95,48,72.8899,39.5946
12716,96,61,73.7558,39.0501
13711,97,52,75.2823,41.4645
13610,95,50,74.1532,38.7818
12158,93,57,71.4064,38.7878
12241,94,49,72.7738,36.2823
12801,94,44,74.5776,39.1502
12438,94,43,72.8849,38.2102
11983,92,53,71.4995,37.5856
12574,90,43,73.8759,38.3033
12823,95,52,74.6567,40.2853
13104,97,47,74.6086,36.976
12837,96,57,72.1381,38.6176
13598,95,51,75.7728,39.6056
11857,90,42,70.7908,35.6206
13212,93,55,73.2422,38.1321
12199,95,47,72.3764,36.1742
12817,95,52,73.994,40.4464
13577,95,48,74.4184,40.1722
11151,90,42,71.3524,33.972
12570,90,42,73.0521,37.8859
12992,96,56,73.5415,38.997
13446,94,53,73.9029,40.5556
13932,94,54,74.3704,42.0681
13203,96,50,73.8579,38.4064
13210,92,53,72.6266,39.3043
12660,91,48,71.6496,37.7497
12410,94,51,72.0831,35.4444
12887,96,54,72.4294,37.1752
13220,97,52,75.2392,40.2472
12784,95,47,73.8559,37.2803
14111,97,55,76.037,41.1351
12593,92,39,74.0751,36.8699
12163,94,46,74.3694,37.3303
12572,94,52,71.6927,35.971
13153,96,53,73.034,38.5556
12647,94,48,74.8458,40.0931
13591,95,51,73.4635,39.0671
11656,94,52,75.3213,37.3924
