objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
3914,93,55,69.7037,35.2823
3411,90,47,68.994,34.7908
3199,87,47,68.2222,34.8619
3231,89,51,68.6877,34.6957
2947,91,51,70.3303,36.1361
3657,92,48,70.8398,35.8298
3375,83,51,66.6016,33.7768
3719,92,50,67.2623,33.1622
3996,91,53,69.3914,33.7327
2426,88,50,68.3944,33.3283
3027,89,46,68.0921,33.1962
3621,95,56,69.971,36.7267
2852,87,53,65.5005,33.6657
3190,89,51,69.2062,35.3914
3447,87,47,69.2022,35.044
2468,90,49,67.7337,32.2452
2837,87,42,68.1552,32.8709
3882,88,50,68.8749,36.6967
3407,86,48,66.6537,34.5305
4162,92,55,66.6256,34.7558
4642,93,49,69.3483,35.2913
2886,91,55,68.5926,34.1071
3119,95,60,69.028,34.6126
3953,89,55,69.3423,36.4735
2745,86,45,65.8799,34.0971
3461,88,52,67.7688,33.9209
3164,89,45,66.7938,33.2943
3563,89,50,64.7437,31.5716
2816,90,55,68.045,35.2022
3637,88,47,66.1892,33.044
3378,86,50,69.5415,36.2823
3002,86,48,66.5035,32.8238
3009,89,54,68.0861,32.3253
2862,86,42,67.6246,32.6386
2734,92,48,68.7137,33.8789
5047,92,55,69.964,36.2142
3547,85,47,67.2092,33.3804
3654,92,54,67.1221,34.2743
3243,85,43,65.969,32.1121
3581,85,50,69.3133,37.4855
3912,91,52,68.5075,34.4655
2689,88,57,67.2763,34.0951
3191,92,52,67.1972,32.5996
2591,85,47,65.8128,32.5776
1665,85,38,65.4675,30.6827
3933,92,49,69.4154,35.1471
2658,93,55,66.0541,32.013
2495,85,39,68.4565,31.7788
2476,90,47,70.1992,35.3964
3442,90,55,68.9049,35.7708
2385,83,49,66.5846,33.0571
1905,83,45,66.8218,34.2002
4033,92,54,69.7988,34.3754
3398,87,46,69.4174,35.3564
2057,85,49,64.2963,31.6006
3772,83,42,68.2533,34.5906
3652,88,48,67.8348,35.3043
4104,93,55,70.0741,35.2543
4275,87,55,65.9089,34.7417
3060,87,48,68.5375,34.0551
4066,88,54,66.5215,33.7748
2223,86,40,68.4034,33.1772
4244,85,53,67.3544,35.9469
3522,86,50,66.6366,35.5686
3502,88,46,68.2573,33.986
2139,85,41,66.9059,31.8509
3360,90,53,68.9469,32.997
3873,93,54,67.5375,33.4364
3641,91,54,68.5095,35.7117
3214,90,47,67.6156,32.992
2617,83,43,65.8989,33.3433
3663,89,47,68.1211,32.7558
3614,89,51,67.4915,34.1141
2613,83,49,67.2482,34.4014
3322,84,44,67.0611,32.4875
2742,87,50,67.6967,32.1632
3962,90,57,66.9479,35.3594
2127,80,43,65.8098,32.2072
2463,86,45,66.3343,34.1221
2420,86,49,66.2663,32.5796
2916,82,42,65.6066,31.3263
3462,88,50,67.0601,34.8178
4021,94,56,68.7217,34.3804
3736,96,55,69.5035,34.4955
3097,88,45,68.5065,33.1602
3794,84,52,67.6987,36.0811
3973,88,52,69.7718,33.965
3582,91,47,69.6096,34.967
4028,92,54,68.953,34.7267
2791,90,52,68.6707,35.1842
2722,87,45,68.1011,32.5636
2513,88,48,66.6797,33.4665
2537,86,41,68.6507,33.8288
4461,86,45,69.0691,36.7197
2120,85,44,65.6527,30.4374
3561,90,52,66.8458,33.7508
4148,91,59,66.2663,34.0671
3254,91,45,68.3033,31.3393
3657,84,42,68.6016,36.2302
3216,91,49,69.2042,34.955
2434,87,51,66.3003,33.2743
4551,89,52,68.6106,35.017
4141,92,63,68.002,35.2873
3285,90,54,68.9479,34.7918
3249,88,46,67.5836,32.8468
3389,92,56,67.9049,33.6967
3357,87,51,66.5926,34.1692
2235,83,41,66.5085,32.5916
3862,87,54,67.9249,33.8158
4145,98,64,66.993,33.9249
4651,95,55,69.0571,35.3443
2471,88,43,69.1321,32.1932
3674,88,51,67.8869,34.5876
3312,86,48,67.8509,35.2282
2287,87,48,66.2002,33.0781
3228,90,49,69.3393,36.0961
3894,85,48,69.0561,36.5265
2745,84,49,66.4054,33.4815
2660,91,49,67.7347,33.0771
3360,92,56,66.1932,35.0511
3007,88,41,67.1792,32.1411
3877,87,50,67.2032,33.6547
3585,87,48,69.0601,37.3233
3396,86,45,68.1822,34.2022
2356,86,45,68.2713,34.2022
3339,88,39,69.1331,33.0801
3864,88,47,69.5295,35.9199
4234,94,53,69.984,36.4625
4019,91,52,68.6967,33.1081
2906,82,45,66.2202,34.3023
2853,87,45,66.8118,31.6036
3561,92,55,66.5546,33.5696
3282,88,43,71.3824,35.4304
2902,89,54,67.6507,34.4304
2499,92,43,69.1972,31.985
3028,86,45,67.4705,33.5676
