objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
4623,153,94,170.31,81.994
-2296,156,86,175.084,79.2513
5538,154,103,173.09,83.3163
4274,155,93,175.377,87.4605
3999,155,93,174.265,79.3764
153,151,82,171.554,76.3704
5235,153,86,170.469,81.6006
4008,156,93,174.902,80.1431
5319,154,87,174.086,79.5205
6450,155,93,172.688,81.7437
10146,153,99,164.855,80.7227
6113,155,98,176.478,88.022
893,155,89,172.606,79.1311
-3265,156,79,175.255,71.8579
7332,153,101,168.134,81.4505
-740,155,87,177.652,82.3213
2686,155,92,172.683,79.4965
7827,156,92,172.802,81.8659
2369,156,99,176.929,82.99
2662,154,83,174.856,79.3443
941,154,84,172.684,78.3213
704,156,101,173.495,87.2943
2994,153,84,172.717,77.5846
8434,154,96,173.08,83.7608
10320,154,91,174.113,83.8028
4004,156,91,174.043,80.6847
5544,153,91,171.344,80.1912
7446,154,96,171.664,84.2302
-743,156,84,170.791,74.3894
5777,156,98,174.229,80.961
-1999,156,86,175.553,79.0711
2409,152,94,171.4,82.0531
2731,153,84,171.872,78.0921
4195,155,89,174.416,80.3013
9636,153,89,169.869,80.5846
-1791,153,81,175.613,75.9249
4594,155,97,171.587,82.8188
10264,153,93,168.212,83.5836
9282,156,100,171.45,80.962
4225,155,99,174.486,85.4865
-2926,156,83,174.93,77.0961
-3759,152,81,173.818,77.8869
10773,155,95,169.523,82.7988
7830,151,90,168.461,82.001
-4098,154,78,176.166,74.6987
-9072,155,84,175.437,76.8969
4209,156,94,176.153,84.0691
6070,156,93,171.424,79.9049
6732,156,96,172.173,82.8358
5921,156,94,174.234,81.5806
1916,154,88,173.765,81.1111
4464,154,93,175.75,85.027
5583,156,87,175.653,83.034
1054,156,101,176.238,84.4785
1347,156,83,176.581,77.7828
3472,153,86,172.3,75.2022
3785,154,68,171.692,72.4645
5589,151,95,171.275,85.2833
-4,154,79,173.907,74.2633
3775,156,91,175.617,80.3544
2000,155,95,176.945,81.2513
5903,155,95,163.968,77.8759
117,154,87,174.003,74.4635
-3596,156,91,177.918,81.8779
912,154,87,175.546,80.9229
125,155,98,173.246,82.6587
6849,154,103,170.249,85.1992
4094,155,98,171.996,87.1411
-2865,156,84,176.641,78.3233
1444,153,80,174.459,78.1261
-2776,156,87,177.889,80.6106
3181,152,91,171.819,79.1111
-4084,156,89,176.49,80.4474
1031,153,87,175.768,81.4545
5252,151,81,169.729,75.7297
2886,154,92,174.43,80.8378
-123,156,99,175.296,81.8719
3278,156,91,175.46,80.959
4162,150,99,167.248,81.4805
2944,155,96,172.573,81.2583
-7654,155,83,177.967,76.5886
10323,152,97,167.308,83.1141
7281,155,86,171.757,78.8348
4470,155,85,173.832,78.8048
4819,155,95,178.907,86.8008
-2734,155,86,176.466,78.4515
840,153,81,173.551,77.9469
2446,155,102,173.681,85.8398
5226,153,87,172.223,80.1562
4306,155,104,175.863,85.3574
1822,152,96,171.318,80.049
7308,152,99,168.252,82.0811
5313,155,88,171.537,79
-4,155,86,172.832,78.4294
808,156,87,175.211,80.2953
8383,153,95,171.339,81.6537
4764,155,94,175.804,84.2923
2708,156,98,174.119,83.2603
-3230,156,89,177.258,78.7087
6523,154,93,171.901,80.2422
4491,153,85,169.719,76.4855
-3000,156,86,179.514,77.4054
6902,153,101,171.946,84.2853
3236,155,81,175.518,76.4374
8090,155,101,171.424,86.5385
7942,154,96,171.179,85.007
